log2Enrich	feature	primary_diagnosis	cohort
1	-0.067	CpG-Island	colon	Cancer
2	1.21	Promoter	colon	Cancer
3	0.894	5UTR	colon	Cancer
4	1.563	Exon	colon	Cancer
5	0.362	Intron	colon	Cancer
6	0.934	TTS	colon	Cancer
7	0.86	3UTR	colon	Cancer
8	-1.272	Intergenic	colon	Cancer
9	1.244	SINE	colon	Cancer
10	-0.981	LINE	colon	Cancer
11	-0.574	CpG-Island	ovary	Cancer
12	0.635	Promoter	ovary	Cancer
13	0.605	5UTR	ovary	Cancer
14	1.221	Exon	ovary	Cancer
15	0.255	Intron	ovary	Cancer
16	0.866	TTS	ovary	Cancer
17	0.776	3UTR	ovary	Cancer
18	-1.219	Intergenic	ovary	Cancer
19	1.603	SINE	ovary	Cancer
20	-1.429	LINE	ovary	Cancer
21	-0.116	CpG-Island	ovary	Cancer
22	1.044	Promoter	ovary	Cancer
23	0.835	5UTR	ovary	Cancer
24	1.522	Exon	ovary	Cancer
25	0.366	Intron	ovary	Cancer
26	0.925	TTS	ovary	Cancer
27	0.897	3UTR	ovary	Cancer
28	-1.054	Intergenic	ovary	Cancer
29	1.084	SINE	ovary	Cancer
30	-0.832	LINE	ovary	Cancer
31	1.15	CpG-Island	ovary	Cancer
32	1.182	Promoter	ovary	Cancer
33	0.966	5UTR	ovary	Cancer
34	1.905	Exon	ovary	Cancer
35	0.659	Intron	ovary	Cancer
36	1.113	TTS	ovary	Cancer
37	1.125	3UTR	ovary	Cancer
38	-0.709	Intergenic	ovary	Cancer
39	0.909	SINE	ovary	Cancer
40	-1.884	LINE	ovary	Cancer
41	1.489	CpG-Island	breast	Cancer
42	1.615	Promoter	breast	Cancer
43	1.417	5UTR	breast	Cancer
44	1.69	Exon	breast	Cancer
45	0.515	Intron	breast	Cancer
46	1.033	TTS	breast	Cancer
47	0.793	3UTR	breast	Cancer
48	-0.873	Intergenic	breast	Cancer
49	1.06	SINE	breast	Cancer
50	-1.455	LINE	breast	Cancer
51	2.009	CpG-Island	breast	Cancer
52	1.605	Promoter	breast	Cancer
53	1.155	5UTR	breast	Cancer
54	2.458	Exon	breast	Cancer
55	0.56	Intron	breast	Cancer
56	1.538	TTS	breast	Cancer
57	1.391	3UTR	breast	Cancer
58	-1.171	Intergenic	breast	Cancer
59	1.15	SINE	breast	Cancer
60	-2.277	LINE	breast	Cancer
61	1.329	CpG-Island	breast	Cancer
62	1.523	Promoter	breast	Cancer
63	1.144	5UTR	breast	Cancer
64	1.706	Exon	breast	Cancer
65	0.509	Intron	breast	Cancer
66	1.036	TTS	breast	Cancer
67	0.852	3UTR	breast	Cancer
68	-0.817	Intergenic	breast	Cancer
69	1.083	SINE	breast	Cancer
70	-1.608	LINE	breast	Cancer
71	1.546	CpG-Island	breast	Cancer
72	1.616	Promoter	breast	Cancer
73	1.312	5UTR	breast	Cancer
74	2.261	Exon	breast	Cancer
75	0.657	Intron	breast	Cancer
76	1.629	TTS	breast	Cancer
77	1.486	3UTR	breast	Cancer
78	-1.135	Intergenic	breast	Cancer
79	1.012	SINE	breast	Cancer
80	-2.024	LINE	breast	Cancer
81	1.478	CpG-Island	breast	Cancer
82	1.374	Promoter	breast	Cancer
83	1.159	5UTR	breast	Cancer
84	2.348	Exon	breast	Cancer
85	0.657	Intron	breast	Cancer
86	1.652	TTS	breast	Cancer
87	1.429	3UTR	breast	Cancer
88	-1.193	Intergenic	breast	Cancer
89	1.079	SINE	breast	Cancer
90	-2.139	LINE	breast	Cancer
91	1.584	CpG-Island	breast	Cancer
92	1.879	Promoter	breast	Cancer
93	1.477	5UTR	breast	Cancer
94	1.986	Exon	breast	Cancer
95	0.466	Intron	breast	Cancer
96	1.361	TTS	breast	Cancer
97	1.106	3UTR	breast	Cancer
98	-1.288	Intergenic	breast	Cancer
99	1.285	SINE	breast	Cancer
100	-1.836	LINE	breast	Cancer
101	0.626	CpG-Island	breast	Cancer
102	1.214	Promoter	breast	Cancer
103	0.902	5UTR	breast	Cancer
104	1.534	Exon	breast	Cancer
105	0.573	Intron	breast	Cancer
106	0.84	TTS	breast	Cancer
107	0.755	3UTR	breast	Cancer
108	-0.938	Intergenic	breast	Cancer
109	0.946	SINE	breast	Cancer
110	-1.07	LINE	breast	Cancer
111	1.477	CpG-Island	breast	Cancer
112	1.73	Promoter	breast	Cancer
113	1.373	5UTR	breast	Cancer
114	2.026	Exon	breast	Cancer
115	0.558	Intron	breast	Cancer
116	1.338	TTS	breast	Cancer
117	1.198	3UTR	breast	Cancer
118	-1.225	Intergenic	breast	Cancer
119	1.17	SINE	breast	Cancer
120	-1.847	LINE	breast	Cancer
121	1.258	CpG-Island	breast	Cancer
122	1.433	Promoter	breast	Cancer
123	1.195	5UTR	breast	Cancer
124	1.503	Exon	breast	Cancer
125	0.562	Intron	breast	Cancer
126	0.838	TTS	breast	Cancer
127	0.794	3UTR	breast	Cancer
128	-0.874	Intergenic	breast	Cancer
129	0.832	SINE	breast	Cancer
130	-0.941	LINE	breast	Cancer
131	1.7	CpG-Island	breast	Cancer
132	1.766	Promoter	breast	Cancer
133	1.332	5UTR	breast	Cancer
134	2.205	Exon	breast	Cancer
135	0.625	Intron	breast	Cancer
136	1.437	TTS	breast	Cancer
137	1.273	3UTR	breast	Cancer
138	-1.109	Intergenic	breast	Cancer
139	1.027	SINE	breast	Cancer
140	-1.876	LINE	breast	Cancer
141	1.212	CpG-Island	breast	Cancer
142	1.512	Promoter	breast	Cancer
143	1.093	5UTR	breast	Cancer
144	1.529	Exon	breast	Cancer
145	0.611	Intron	breast	Cancer
146	0.977	TTS	breast	Cancer
147	0.833	3UTR	breast	Cancer
148	-0.858	Intergenic	breast	Cancer
149	0.814	SINE	breast	Cancer
150	-1.125	LINE	breast	Cancer
151	1.471	CpG-Island	breast	Cancer
152	1.867	Promoter	breast	Cancer
153	1.454	5UTR	breast	Cancer
154	1.925	Exon	breast	Cancer
155	0.48	Intron	breast	Cancer
156	1.243	TTS	breast	Cancer
157	1.123	3UTR	breast	Cancer
158	-1.279	Intergenic	breast	Cancer
159	1.276	SINE	breast	Cancer
160	-1.738	LINE	breast	Cancer
161	1.476	CpG-Island	breast	Cancer
