,tissue,cohort,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,X65,X66,X67,X68,X69,X70,X71,X72,X73,X74,X75,X76,X77,X78,X79,X80,X81,X82,X83,X84,X85,X86,X87,X88,X89,X90,X91,X92,X93,X94,X95,X96,X97,X98,X99,X100,X101
1,breast,Cancer,0.256636335783799,0.285897873953659,0.295760264220687,0.325762534828437,0.358214106476894,0.385570224816893,0.418655418219399,0.449085925814191,0.469241969208018,0.479910390817181,0.4785087757356,0.466640600440584,0.440186730791772,0.395340513609363,0.323924761898141,0.198216848567404,0.0285738586600292,-0.164191579097232,-0.347394135296101,-0.478771732486488,-0.533556138556697,-0.168399340242484,0.051515501216329,0.1678375812557,0.222817000743815,0.254689941577616,0.277397440579097,0.27883045823491,0.291120815132137,0.292584588710637,0.29238018636936,0.292836406937705,0.296732302022298,0.276342633258622,0.289897443550049,0.288508201635707,0.279346392472669,0.287100930583847,0.269964815661278,0.27321707233526,0.269221103032081,0.271611944173296,0.263795319768848,0.261091106465148,0.268269656655725,0.267724993577284,0.258146782288267,0.248056927807526,0.261761543209523,0.250744472877412,0.246662625669468,0.245142344544696,0.254889840352283,0.253162383201218,0.238747605352643,0.236248518028482,0.240703390995409,0.231175386940695,0.228081572393569,0.237834532435267,0.23902679194322,0.231441839719489,0.233285369084221,0.220853111375178,0.218948353652793,0.234544517612049,0.2350148696091,0.236607345195576,0.221874243159606,0.244167548307271,0.244860324547466,0.247781185835157,0.244632347238613,0.24340795351671,0.258293458035148,0.25730463412349,0.259860948880113,0.26815399773454,0.262380861664027,0.253651202871291,0.129937969296277,0.196521355692105,0.243730524324841,0.271187972266307,0.281696677791096,0.273164101226185,0.270620875806683,0.276109149112601,0.274022093808772,0.271465776652085,0.274958399382028,0.278211253251681,0.27403592417087,0.274810310132503,0.285674762407464,0.28583287109254,0.28102621076842,0.27665629788273,0.270010420845792,0.260793008396853,0.246478098363557
2,breast,Control,0.302296122981457,0.333397072694509,0.351835870687984,0.37254183634571,0.388945223533005,0.411257761558197,0.441154360701652,0.465524423232223,0.473718602486388,0.476430853454564,0.464300497119325,0.442229021013753,0.379066090809092,0.300385960034534,0.187312683607753,0.0331096668412953,-0.161392524777765,-0.382852199641391,-0.590658883715628,-0.757256967812356,-0.830022203774907,-0.340990394559143,-0.0610671516779723,0.0774471690124254,0.152879712299123,0.194332394933488,0.229531088591627,0.242023755498836,0.246881581957397,0.265747000087501,0.271687674805566,0.278715183214885,0.285475535461941,0.266443991778709,0.27785398367493,0.289915493271332,0.279893568231206,0.278861165534593,0.286830503829767,0.2935144251539,0.283965778104686,0.276756957637246,0.282104427372174,0.289054980996172,0.295549364852821,0.289426075862807,0.288036987393819,0.298190716420256,0.303225227157382,0.298310656591585,0.292746115851135,0.292926061333256,0.292477456608409,0.282514495040886,0.280204442474577,0.284450797154283,0.287051659037158,0.285628578670667,0.285849859515008,0.296035359018993,0.298866040188371,0.301807626645321,0.28596166544568,0.285181775196634,0.305449612906482,0.306915798624123,0.29775738414004,0.300728474269296,0.308558514986821,0.307013873278303,0.31696464093877,0.329267897882689,0.320492725346406,0.320275102998529,0.332833836267785,0.337252289157129,0.344408421898916,0.358332825864249,0.351222038895366,0.325895511126044,0.202219602388056,0.260534617356688,0.312856166551195,0.340576083019736,0.357998179511053,0.352454607101865,0.348587756981584,0.355834822933131,0.348192811804423,0.344435737612308,0.346049068152356,0.353402847504365,0.345524743270653,0.33450357198331,0.346258083081689,0.347811899257034,0.346997553511011,0.346307564755901,0.340987743298643,0.326236423802916,0.317402812310228
3,colon,Cancer,0.396985899964276,0.419548857391624,0.454134597066668,0.474494613267799,0.505144118404078,0.525109259218362,0.549747018371342,0.559291419827532,0.577239737847757,0.590349546336605,0.587344520919419,0.569172783475791,0.5307596832386,0.471057030604152,0.386273260652998,0.252626155093964,0.101375390009137,-0.0834509535458739,-0.254527977759067,-0.356349533120632,-0.403223771412965,-0.0530464467482845,0.16850044673125,0.287178993536078,0.34727108002633,0.368079380623404,0.380070219411811,0.389160629351772,0.391247570000984,0.395735603664465,0.387259245983997,0.395046331018422,0.394303351190308,0.381295545166755,0.381779263940731,0.384812381982874,0.376506460841547,0.379529968004201,0.378189973266312,0.37477697864514,0.362141931806246,0.351081919593641,0.363548784477885,0.357753410222383,0.355105284660648,0.347287880263717,0.34450586303666,0.347002828222411,0.351775900217191,0.341705013199899,0.333165585476232,0.332987739172737,0.346220073192212,0.332211694356772,0.319650837203769,0.335145464418044,0.340761274699282,0.328376648600443,0.330325843283686,0.335695277034586,0.336823047650548,0.33746278737979,0.333471900483773,0.318317171100643,0.330115465903295,0.320218462171902,0.320073575322861,0.330840615730952,0.333928341366238,0.33558752804822,0.341715110807251,0.34872113227559,0.345578029129259,0.338979445995849,0.347786571565966,0.347506580870258,0.359242796416551,0.359568970026635,0.362645918813369,0.328916934805681,0.235480894458458,0.286829837321186,0.33595606881657,0.360403452237852,0.38020822801219,0.383566144444013,0.389371149266389,0.393166568710167,0.388338194103329,0.381608606792564,0.384303727821179,0.388378894655142,0.379037040979698,0.386743738908975,0.390458866288987,0.392684886094761,0.38748141500969,0.380119776727339,0.384426271666091,0.377931648369686,0.356710420629702
4,colon,Control,0.344373429764994,0.364130016600645,0.387566745225746,0.417574360102751,0.445024162071708,0.470035048593614,0.500390973502356,0.523885182060932,0.535994327752529,0.541564649857108,0.526203051336632,0.501943261157705,0.453954694803083,0.388481227697017,0.287851285063518,0.140222479921266,-0.0477181462845656,-0.265379766115924,-0.475623948019118,-0.629475717689137,-0.693557486740666,-0.248405836878073,0.0346519819748682,0.155509665578895,0.239503998794809,0.264538923842057,0.290385912639987,0.294784994767969,0.301930849342661,0.32040445307371,0.315442653003776,0.32635100525922,0.326773893833013,0.310076193825229,0.324285665301211,0.332518071103842,0.310548912017528,0.315984588972023,0.3258146817472,0.311772472113411,0.309403024581206,0.309875499750659,0.315719291046726,0.311725200310425,0.317438536998571,0.303123127064412,0.298433562160706,0.305107268269146,0.308567104236397,0.293448591027196,0.289467050170414,0.29415385293685,0.300268902568102,0.293750252804846,0.284446062076599,0.288838331373445,0.303657481908091,0.296358069022705,0.282352304218604,0.293989942633147,0.283534092416545,0.286825107358182,0.285133115404846,0.270815171100741,0.286121152975812,0.289314911990835,0.293804600618685,0.287966693859269,0.290129406687214,0.30423800997267,0.298485986162586,0.30369959759289,0.302746155768409,0.301072004867124,0.314265015249794,0.319672591663857,0.315326472191102,0.326341529593828,0.319037997095301,0.295420591670416,0.161413459127443,0.233742754619468,0.285765482754755,0.32554561463908,0.336330659245881,0.330659096814026,0.341403945195364,0.352850656884139,0.348290391552942,0.342125557372506,0.342404945193191,0.350191881869795,0.342662088528288,0.342495395718937,0.351413887616386,0.345235484904124,0.353789868611655,0.344456454196753,0.329453946427551,0.314631794282757,0.302797242819935
5,lung,Cancer,0.422015295078956,0.454436142163194,0.483240593091473,0.513006698708174,0.541455394962875,0.567892108129191,0.593233138242861,0.623925578214969,0.637088960511045,0.651142826969322,0.651817762649954,0.643646548912999,0.607328083267259,0.555711513273139,0.471390057481951,0.340454864166866,0.164128585858515,-0.0371583703984532,-0.226148047351697,-0.364278587809471,-0.422245878267561,-0.0357818227145246,0.211240695080763,0.317125250817485,0.38797324751462,0.407163634550319,0.424561682119288,0.420237573605437,0.423701401664494,0.434105201328121,0.432306676936628,0.436685657513674,0.444150433441806,0.424684963043186,0.429821929929348,0.424981631053507,0.41993824169762,0.415898401327856,0.413373384046242,0.409291414111833,0.400773161670497,0.390860515692626,0.394905252789834,0.39314734770219,0.385907290387753,0.386610755030585,0.379000687943016,0.386551052478451,0.388508860451048,0.382817649049707,0.374017561204038,0.373154047405045,0.384692361486044,0.376399232195496,0.354165846838992,0.369614665241016,0.382564763035472,0.358518770780391,0.355092753454044,0.360503709582668,0.365868767957717,0.36862837028421,0.357810562429355,0.350359297806114,0.360826530362852,0.360925912233225,0.357252647378496,0.358628687178419,0.359494485333795,0.357883152610526,0.373455993863959,0.373307652987357,0.382840189973727,0.373758802319658,0.387531152249047,0.394888063904972,0.394529448373874,0.392050447343617,0.388044670274027,0.367194784579942,0.227969199942954,0.306681996256939,0.371250675680656,0.410751929416702,0.422812620671424,0.424945803270877,0.420384602740483,0.433746320893044,0.434004225194731,0.433155269343702,0.430142376730959,0.431569773974275,0.434063221541848,0.436449715346534,0.435566170903039,0.430963421048494,0.425853019200639,0.434997139348563,0.425264568746747,0.406063350519956,0.38946951536418
6,lung,Control,0.38717676411949,0.414269454351056,0.444942976276804,0.468302346882673,0.493517521241001,0.524231484285972,0.558832075139303,0.578783803657018,0.601724472805013,0.612317733072025,0.612040915043834,0.60247986879561,0.5615475719052,0.500939805178785,0.40806491450455,0.270443109284316,0.0927737848911864,-0.120660488721914,-0.340194650486214,-0.49938255159504,-0.560903494845988,-0.139247517783296,0.127895284346328,0.24443732721841,0.317099803267339,0.350383320364081,0.385483594848143,0.381809397313501,0.390248114438808,0.404918083848891,0.406963932709777,0.402132422332586,0.40042544504615,0.388749448744825,0.399132238938332,0.406272043616862,0.39912533928687,0.391787890472088,0.394787368164165,0.397354685706861,0.378274217747137,0.385438678085345,0.38192175541895,0.383629758016957,0.385457320552358,0.375556629582129,0.377255023577246,0.378841607695931,0.383474094882999,0.371521162715473,0.364793824236045,0.369042404681168,0.374857595283906,0.360812028646914,0.346384264648267,0.35421392413722,0.370876153917179,0.35931102395227,0.353267970519806,0.354674753609236,0.356322435776927,0.363740755562452,0.361488792027058,0.35787404350017,0.367110731007583,0.3581338313363,0.354788924793285,0.365944730838368,0.360549981438101,0.376832528651856,0.374465902863273,0.380009702522059,0.379253320429497,0.378565660126873,0.397959987237795,0.396626873982794,0.39364743751702,0.410418076921587,0.402787644570748,0.382522277570899,0.224570592436009,0.316439467840136,0.382238626752772,0.418197348214433,0.435030650666393,0.436641185504213,0.434946760844946,0.430328733164628,0.43282922562469,0.433260754866541,0.433025483180435,0.43490241386479,0.429696920737525,0.431688431024224,0.443238272569082,0.438107462985428,0.430485492832636,0.434402448704567,0.432094432164345,0.417730729517069,0.401287000553938
7,ovary,Cancer,0.324889473851084,0.357075181387588,0.374729161589532,0.402354712264894,0.427608109636315,0.443742951653398,0.471128928786332,0.499102740703579,0.516977506724253,0.511156526737648,0.492978815641822,0.461316381630974,0.40366293518473,0.340850033009173,0.22742152472838,0.0846179816137028,-0.10102348410732,-0.309036219093197,-0.497672175004254,-0.636971877630338,-0.698981163107629,-0.249711095138407,0.0205974774508351,0.162005553257935,0.236254619059576,0.266804863588883,0.298293778807764,0.299252129911607,0.30869866734546,0.326691077108628,0.319822868807806,0.326886067132877,0.324681873443182,0.310346653403855,0.327156579948473,0.322803292268516,0.318057842980034,0.318133801910428,0.314691845610218,0.315150589846357,0.311589009045759,0.301177667179669,0.307854726980603,0.299085824079089,0.303095157073046,0.300626042592272,0.293307311562076,0.303369048290563,0.297490790466114,0.285665110926919,0.29184456875507,0.285535781108991,0.297513084663454,0.291395450981811,0.276295493389082,0.274282884153079,0.289331764339204,0.271626680923089,0.274531022593217,0.282066115310009,0.271033651321636,0.284568173831183,0.279491531975599,0.263008397763536,0.272478013514494,0.272026872084407,0.275451662635142,0.27166256461523,0.275061462905441,0.284920370974174,0.289757466663002,0.294593284528446,0.289916020903246,0.277829684761042,0.293239563013308,0.297764237614793,0.303217990749177,0.304786642020551,0.295260143259187,0.272619973767573,0.122594924335969,0.201449713271355,0.276546563819244,0.32299582621579,0.339495641703798,0.342407723098709,0.345976123017535,0.349291684732191,0.343892877086738,0.334352781075338,0.345277773975408,0.35764133027186,0.351894282661157,0.346344580464829,0.358640257382618,0.356048006937955,0.351979338807408,0.34743721352566,0.3396396464794,0.337687309389821,0.319111871786934
8,ovary,Control,0.308564757509437,0.344299167649116,0.359039655201638,0.387985683674603,0.418463797866031,0.447171109860571,0.470212082860465,0.497785649415449,0.513158006448238,0.526921256911937,0.522219154293674,0.494583541534052,0.434315054805635,0.358996029679689,0.260423841991065,0.099029904525526,-0.0939042398955967,-0.310138228330422,-0.513246368865373,-0.6580525151566,-0.718878254866424,-0.271103728471496,0.00777353337445703,0.132745112049563,0.194799021105078,0.234237852905171,0.260220659747561,0.274324140876579,0.284051152146355,0.295190497528235,0.302603146311472,0.311018109601862,0.315385052160879,0.303175192313503,0.308622850213436,0.315899820668083,0.304987043879789,0.3149520394833,0.305869255812539,0.309143447182015,0.295450586977934,0.306529146924981,0.306636464808793,0.307353108802701,0.305582039309223,0.306440692435202,0.303177047244049,0.3046155540412,0.317583008172072,0.30940338514875,0.300738728001996,0.310618771207861,0.319150125159711,0.313911523742277,0.296937558629984,0.303730656014781,0.309907802963266,0.311716122777715,0.306327807506232,0.308341758873795,0.302391231038093,0.316909581813909,0.305736748615642,0.312804450256453,0.321763893887494,0.318187958865089,0.319377756024384,0.323337919911819,0.326525009948171,0.333397063491006,0.336718063111297,0.343666451613121,0.345306992224274,0.343543834127892,0.356852793017329,0.365991267166069,0.37097051392274,0.386745695632707,0.377120266545153,0.384123286463001,0.255004768024553,0.318401723542577,0.368221368768564,0.403072321797285,0.411755734241078,0.404488795114626,0.400118516336097,0.400823942528411,0.400473600056907,0.395826624424795,0.394943890229156,0.401077077464482,0.400635415774717,0.400814286715434,0.405227019284537,0.401059368786175,0.398763292671329,0.399003712487534,0.381681304745733,0.372940029127263,0.357080534499459
9,pancreas,Cancer,0.35554919469527,0.382811943674807,0.39980748011492,0.431165450589119,0.465040803482285,0.492265416199756,0.525729348806162,0.550717697466398,0.57082173664395,0.592770719343514,0.588754275069412,0.58406272307503,0.543430583372049,0.495977769133748,0.404512086423512,0.282775109972672,0.109209994192161,-0.0942182759858637,-0.280692930542856,-0.41754196674531,-0.470411000512549,-0.0728384251906729,0.168636533196871,0.274783707160611,0.329016920257363,0.35139852831438,0.380376518164677,0.385759639776361,0.38480979249641,0.390856374933585,0.395829227374002,0.400242907465763,0.40019690081606,0.374032348864898,0.382251880311336,0.385429154525367,0.374338012682864,0.376335510085464,0.377184360651524,0.38380703715738,0.362880383940133,0.364570047677438,0.37258892154293,0.366224959970028,0.363972747352264,0.358461122496579,0.355343012910956,0.360389570173694,0.365288370927448,0.354141194467955,0.339903313000159,0.35832240959471,0.351038352367944,0.347448658528526,0.326386031219059,0.338733180656756,0.341355946560748,0.330676825253644,0.33239640878969,0.32781809012132,0.332938511789315,0.344223277961663,0.32604366634701,0.322565912062478,0.338727640534885,0.334322301319264,0.338553713696601,0.336240053215817,0.339587822601124,0.353534795876812,0.351123961220417,0.357537495077543,0.359452163544355,0.34747905664958,0.357115295293111,0.369399114410706,0.370149773075999,0.381335126042282,0.372518128448269,0.347259861162647,0.214108962571596,0.286612975257742,0.345885079833056,0.374988465363873,0.394586151623378,0.391175468005245,0.394578860603108,0.40370508837342,0.402222023094035,0.398542004872181,0.399652793728707,0.4097609029539,0.403653463302444,0.39975826431496,0.409346639473989,0.406633421963884,0.406117516546686,0.403627448660887,0.394762642915534,0.390392987138251,0.368791976731267
10,pancreas,Control,0.343076054699353,0.370603827181628,0.389807447636784,0.414076918912656,0.44824388472644,0.477550802150076,0.513528638647274,0.544757209662235,0.559786759459298,0.565435806196981,0.562829333303108,0.550128467466479,0.496136832712412,0.429319318051152,0.338283870270418,0.196128696216185,0.0146548906000023,-0.201200179697451,-0.408553723285071,-0.556631852264737,-0.622556422863777,-0.191656010408881,0.0693098752780872,0.210698109798573,0.27729069556485,0.308137418413119,0.346105143526225,0.354673090731371,0.36421074255586,0.362846006147909,0.35890422998419,0.377711274152762,0.375347823548364,0.361495928413051,0.376669921409316,0.370634552371937,0.359448937959523,0.362399395775514,0.360779556695607,0.360344472851971,0.356653941446662,0.351826519131669,0.362987405327293,0.355210219237862,0.361550418388107,0.352769208170502,0.350744008775842,0.344107992627617,0.353517611010038,0.341634949077527,0.343884647069948,0.338625604704725,0.352697733548002,0.339861971986653,0.317684789217934,0.33216333197436,0.339377093849961,0.321281594711868,0.330597460270651,0.330119204705686,0.333884228959358,0.335538677993586,0.333090463834696,0.320604997891753,0.344551844151891,0.34176979639867,0.333328826965417,0.342729471116104,0.347769420553053,0.347607109368252,0.350534231058819,0.369626922153364,0.359988166534668,0.359627177196703,0.367419293747313,0.36941174677176,0.369444838385228,0.382052114910867,0.379253200192992,0.378349246248266,0.249441001219356,0.311788316777448,0.365283036200488,0.39639051185324,0.404752719653441,0.403916043666445,0.414594280454404,0.416737431380869,0.410407791536307,0.402875529447344,0.412005808322188,0.422241948844788,0.412303391490134,0.408226278518769,0.413506062911367,0.415437253739819,0.405503967385485,0.399167478634068,0.400873349497614,0.396570010910672,0.373998603678129
