SampleID	subtype	pathway	mean_fpkm
pancreas_N_1	Normal	MESENCHYMAL_STROMAL	0.579998616480857
pancreas_N_10	Normal	MESENCHYMAL_STROMAL	0.561369617351942
pancreas_N_2	Normal	MESENCHYMAL_STROMAL	0.542621204587539
pancreas_N_3	Normal	MESENCHYMAL_STROMAL	0.545484236920388
pancreas_N_4	Normal	MESENCHYMAL_STROMAL	0.511576262680194
pancreas_N_5	Normal	MESENCHYMAL_STROMAL	0.565954761184603
pancreas_N_6	Normal	MESENCHYMAL_STROMAL	0.549921410295037
pancreas_N_7	Normal	MESENCHYMAL_STROMAL	0.556520503624361
pancreas_N_8	Normal	MESENCHYMAL_STROMAL	0.634603022232764
pancreas_N_9	Normal	MESENCHYMAL_STROMAL	0.575011336849956
pancreas_T_1	PDAC	MESENCHYMAL_STROMAL	0.888640896076061
pancreas_T_10	PDAC	MESENCHYMAL_STROMAL	0.804554773394422
pancreas_T_11	PDAC	MESENCHYMAL_STROMAL	0.55023792135328
pancreas_T_12	PDAC	MESENCHYMAL_STROMAL	0.695233179178333
pancreas_T_13	PDAC	MESENCHYMAL_STROMAL	0.811419240152552
pancreas_T_14	PDAC	MESENCHYMAL_STROMAL	0.735796332013783
pancreas_T_15	PDAC	MESENCHYMAL_STROMAL	0.765855558685884
pancreas_T_16	PDAC	MESENCHYMAL_STROMAL	0.884311790468226
pancreas_T_17	PDAC	MESENCHYMAL_STROMAL	0.837511750836225
pancreas_T_18	PDAC	MESENCHYMAL_STROMAL	0.511286686431305
pancreas_T_19	PDAC	MESENCHYMAL_STROMAL	0.600281318072977
pancreas_T_2	PDAC	MESENCHYMAL_STROMAL	1.0082337355333
pancreas_T_20	PDAC	MESENCHYMAL_STROMAL	0.604931290930993
pancreas_T_22	PDAC	MESENCHYMAL_STROMAL	0.703263057567881
pancreas_T_23	PDAC	MESENCHYMAL_STROMAL	0.761332744289819
pancreas_T_25	PDAC	MESENCHYMAL_STROMAL	0.680156941972016
pancreas_T_26	PDAC	MESENCHYMAL_STROMAL	0.944115248617564
pancreas_T_27	PDAC	MESENCHYMAL_STROMAL	0.815531151546216
pancreas_T_29	PDAC	MESENCHYMAL_STROMAL	0.66172122804795
pancreas_T_3	PDAC	MESENCHYMAL_STROMAL	0.708916411347929
pancreas_T_30	PDAC	MESENCHYMAL_STROMAL	0.879587684817237
pancreas_T_31	PDAC	MESENCHYMAL_STROMAL	0.751631791000143
