,bone.marrow,lymph.node,breast,colon_sig,colon_tran,lung,ovary,pancreas,cohort,tissue
seq010877,0.0422804850734335,0.216007689767971,0.0332605521990569,0.0653305525501906,0.0220279011674113,0.17250920289578,0.0490605397761193,0.0433322061644437,Cancer,breast
seq010878,0.030824561743802,0.0606850291540592,0.425173883078267,0.0132018021067512,0.0134476195835132,0.0505669603546398,0.0307501903399878,0.0142360224951327,Cancer,breast
seq010879,0.0423454844174783,0.126032360552549,0.204980864146585,0.0224302037337721,0.0230054383273117,0.0711288702151547,0.0352099115634383,0.0296037468666262,Cancer,breast
seq010880,0.0217496754572526,0.0247586511194031,0.435044399023028,0.0232913753164034,0.0624084115393851,0.0399766538623259,0.0259121339481352,0.0157063065949464,Cancer,breast
seq010881,0.085238483025816,0.0265484972974741,0.120361533104491,0.0365014032745028,0.131356549326558,0.0410862647079924,0.0286827757935022,0.0262939709231617,Cancer,breast
seq010882,0.00662522150319555,0.916272480515408,0.00800153494188112,0.00229387352956304,0.000859915051678208,0.0121283954929591,0.00347050787738693,0.00357786008602582,Cancer,breast
seq010883,0.0079506876681079,0.125320801884991,0.058834227061735,0.0139563237789614,0.0276363647385838,0.127475777120285,0.0324886257658432,0.0929738838779359,Cancer,breast
seq010884,0.0380122577588907,0.268932726165849,0.143382133271627,0.00889369713246921,0.0223212406194951,0.224695621642448,0.0191233113555333,0.0129920252860799,Cancer,breast
seq010885,0.00667036255890441,0.0191389610808571,0.0157777897919842,0.127298206381851,0.057278846482472,0.142719183192364,0.0696595926145229,0.0337810150379375,Cancer,breast
seq010886,0.0411262451700929,0.0801304382256104,0.320110687096544,0.0418708459434247,0.0285736901394175,0.043811161505123,0.0435159571354086,0.0310196440465759,Cancer,breast
seq010887,0.0222219499005207,0.0662812245698677,0.0197054372332168,0.0167629393023321,0.0101689215230541,0.0747638208826621,0.139685601025866,0.107413601698195,Cancer,breast
seq010888,0.00445161188933026,0.958963351792059,0.0037802566941247,0.000843510549220771,0.000465022893755658,0.0121124595940631,0.00237884624048171,0.0025010561405941,Cancer,breast
seq010890,0.0214246364298228,0.0615403886470305,0.164850479931842,0.0297115131575573,0.0308924209513496,0.233183380504156,0.03602266171731,0.0333845983441501,Cancer,breast
